Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
Grey Winter Jacket,3499,jabong,clothing & accessories,western wear,coats & jackets,Winter Wear,5,,self design,http://static3.jassets.com/p/U-S--Polo-Assn--Kids-Grey-Winter-Jacket-3772-179059003-1-catalog_m.jpg
Enfance Flowers & Polka Printed Sleeveless Dress - Blue,1295,firstcry,,,,dress,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/2267548a.jpg
Pink Bodysuit,995,jabong,clothing & accessories,baby,baby girls 0-24m,Baby Essentials,5,,embroidered,http://static4.jassets.com/p/Lilliput-Pink-Bodysuit-1122-873944003-1-catalog_m.jpg
Orange & Black Striped Crop Top,909,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,2,,striped,http://static4.jassets.com/p/Forever-21-Orange---Black-Striped-Crop-Top-9539-836759003-1-catalog_m.jpg
Blue Embellished Anarkali,2699,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,5,,,http://static4.jassets.com/p/Juniper-Blue-Embellished-Anarkali-6015-759916003-1-catalog_m.jpg
Dark Grey Regular Fit T Shirt,899,jabong,clothing & accessories,shirts,1 shirts,T-Shirts & Polos,5,,printed,http://static1.jassets.com/p/Pepe-Jeans-Dark-Grey-Regular-Fit-T-Shirt-5476-563006003-1-catalog_m.jpg
Jash Kids Full Sleeves Shirt Leaves Print - White,760,firstcry,clothing & accessories,t-shirts & polos,t-shirts,shirt,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/2131872a.jpg
Greenwich Grey Cotton Trackpants Single,699,snapdeal,,,,Trackpants,5,,plain,https://n3.sdlcdn.com/imgs/g/i/u/large/Greenwich-Grey-Cotton-Trackpants-Single-SDL517890169-1-2d06a.jpg
Distressed Denim Shorts,1399,forever21,clothing & accessories,western wear,shorts,,5,,,https://www.forever21.com/images/default_330/00226080-01.jpg
Black Solid Mid Rise Skinny Fit Jeans,2390,jabong,clothing & accessories,jeans,jeans,Jeans,5,,2,http://static1.jassets.com/p/Dorothy-Perkins-Black-Solid-Mid-Rise-Skinny-Fit-Jeans-2298-181113003-1-catalog_m.jpg
Ollypop Half Sleeves T-Shirt Beach Party Print - White Melange,259,firstcry,clothing & accessories,western wear,"tops, tees & shirts",Half Sleeves T-Shirt,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1849225a.jpg
Ollypop Short Sleeves Night Suit Teddy Bear Print - Pista & White,359,firstcry,clothing & accessories,baby,baby,Night Suit,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1822464a.jpg
Rikidoos Casual Checks Full Sleeves Shirt - Black,599,firstcry,clothing & accessories,shirts,1 shirts,shirt,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/2166833a.jpg
Blue Printed Pyjama,1099,jabong,clothing & accessories,lingerie & nightwear,nightwear,Sleepwear,5,,printed,http://static4.jassets.com/p/London-Bee-Blue-Printed-Pyjama-7622-704812003-1-catalog_m.jpg
Holy Brats Multicolour 100% Cotton Half Sleeves Shirt,1099,snapdeal,clothing & accessories,tops & tees,t-shirts,Shirts,5,,,http://n1.sdlcdn.com/imgs/d/5/w/230x258/Holy-Brats-Multicolour-100-Cotton-SDL797478986-1-8deee.jpg
Dark Grey Mid Rise Slim Jeans,1299,jabong,clothing & accessories,jeans,jeans,Jeans,acrylic,,2,http://static3.jassets.com/p/Hubberholme-Dark-Grey-Mid-Rise-Slim-Jeans-3941-0772292-1-catalog_m.jpg
Navy Blue Football Sweatshirts,1499,jabong,clothing & accessories,western wear,sweatshirts & hoodies,Winter Wear,5,,embroidered,http://static3.jassets.com/p/Manchester-City-Fc-Navy-Blue-Football-Sweatshirts-1116-779382003-1-catalog_m.jpg
White Printed Regular Fit Round Neck T-Shirt,2599,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static1.jassets.com/p/Tommy-Hilfiger-White-Printed-Regular-Fit-Round-Neck-T-Shirt-9467-189196003-1-catalog_m.jpg
Snoogg Printed Men Round Neck Blue T-Shirt,799,flipkart,clothing & accessories,t-shirts & polos,t-shirts,Snoogg T-Shirts,5,,,https://rukminim1.flixcart.com/image/200/200/j5vcknk0/t-shirt/j/b/b/m-rpc-9610-ttm-m-snoogg-original-imaew94vnpkkxchp.jpeg?q=90
AJ Home Multicolour Floral Cotton 1 Double Bedsheet with 2 Pillow Covers,1699,snapdeal,,,,Bed Sheets,5,,,https://n1.sdlcdn.com/imgs/b/y/4/large/AJ-Home-Multicolour-Floral-Cotton-SDL644038318-1-17108.JPG
GLOBAL DESI Women Front Open Style Shrug,1499,shoppersstop,clothing & accessories,western wear,sweaters,Westernwear,5,1,2,https://sslimages4.shoppersstop.com/sys-master/images/hae/h7d/9872753557534/202297345_9309.jpg_230Wx334H
Goodtry Legging For Girls(White Pack of 1),699,flipkart,clothing & accessories,"socks, tights & leggings","socks, tights & leggings",Leggings & Jeggings,5,,,https://rukminim1.flixcart.com/image/200/200/kids-legging/h/r/d/7-8-years-white-gtcl-100-white-goodtry-original-imaej729pcj3udex.jpeg?q=90
Black Printed Regular Fit Round Neck T-Shirt,599,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static1.jassets.com/p/Roadster-Black-Printed-Regular-Fit-Round-Neck-T-Shirt-9902-766251003-1-catalog_m.jpg
Printland Grey Hooded Sweatshirt,1499,snapdeal,clothing & accessories,sweatshirts & hoodies,sweatshirts & hoodies,Sweatshirts,5,,printed,http://n1.sdlcdn.com/imgs/e/l/k/230x258/Printland-Grey-Hooded-Sweatshirt-SDL761833182-1-5693e.jpg
Yiyi Garden Crew Neck Sleeveless Dress - Pink,1339,firstcry,clothing & accessories,dresses,dresses,frocks for kids,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1676111a.jpg
Changing Destiny Cotton Lycra Casual Pants,7200,snapdeal,,,,Pants & Capris,5,,,https://n3.sdlcdn.com/imgs/h/e/6/large/Changing-Destiny-Cotton-Lycra-Casual-SDL559781263-1-ebd7d.jpg
Beige Solid Slim Fit Chinos,2995,jabong,clothing & accessories,trousers,casuals,Casual Trousers,5,,2,http://static4.jassets.com/p/Jack---Jones-Beige-Solid-Slim-Fit-Chinos-6686-0525272-1-catalog_m.jpg
SP AURA Green Poly 5 Straight Kurti,2299,snapdeal,,,,Stitched Kurtis,5,,,https://n4.sdlcdn.com/imgs/g/o/6/large/SP-AURA-Green-Poly-5-SDL849290321-1-cd2b1.jpg
Pack Of 2 Multicoloured Briefs,699,jabong,clothing & accessories,innerwear,briefs,Underwear,5,,,http://static4.jassets.com/p/BASIICS-by-La-Intimo-Pack-Of-2-Multicoloured-Briefs-3484-881592003-1-catalog_m.jpg
Olive Green Slim Fit Solid Chinos,1999,jabong,clothing & accessories,trousers,casuals,Casual Trousers,5,,,http://static3.jassets.com/p/Roadster-Olive-Green-Slim-Fit-Solid-Chinos-3688-931625003-1-catalog_m.jpg
X Blues Cotton Jeggings - Blue,2099,snapdeal,,,,Jeans Jeggings & Tights,5,,,https://n1.sdlcdn.com/imgs/h/z/v/large/X-Blues-Cotton-Jeggings-Blue-SDL875832895-1-07416.jpg
Pack Of 2 Multicoloured T-Shirts,699,jabong,clothing & accessories,t-shirts & polos,t-shirts,T-Shirts & Polos,5,,printed,http://static3.jassets.com/p/Yk-Pack-Of-2-Multicoloured-T-Shirts-6775-060370003-1-catalog_m.jpg
Navy Printed Slim Fit Smart Casual Shirt,1999,jabong,clothing & accessories,shirts,1 shirts,Formal Shirts,5,,printed,http://static2.jassets.com/p/Invictus-INVICTUS-Navy-Printed-Slim-Fit-Smart-Casual-Shirt-1414-115044003-1-catalog_m.jpg
Babyhug Half Sleeves T-Shirt Little Man Print - Red,249,firstcry,clothing & accessories,tops & tees,t-shirts,T-Shirt,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1449783a.jpg
Duke Blue Cotton Blend Trackpants,595,snapdeal,clothing & accessories,sportswear,track pants & trousers,Trackpants,2,,plain,http://n1.sdlcdn.com/imgs/f/e/u/230x258/Duke-Blue-Cotton-Blend-Trackpants-SDL934281089-1-bae14.jpg
By Dhoni Basic Pique Aqua Blue Polo T-Shirt,799,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,2,http://static2.jassets.com/p/Seven-By-Dhoni-Basic-Pique-Aqua-Blue-Polo-T-Shirt-8005-306750003-1-catalog_m.jpg
"Shree Shyam Crafts Women Full Coverage Non Padded Bra(Pink, Purple)",1000,flipkart,clothing & accessories,lingerie & nightwear,lingerie & underwear,Sports Bras,5,,,https://rukminim1.flixcart.com/image/200/200/j8hnmvk0/bra/j/s/w/34-br-19-shree-shyam-crafts-original-imaeyg89nwmrt6mf.jpeg?q=90
Diaz Multi Color Cotton Lycra Capris,1099,snapdeal,clothing & accessories,western wear,pants & capris,Pants & Capris,5,1,,http://n1.sdlcdn.com/imgs/b/1/5/230x258/Diaz-Multi-Color-Cotton-Capris-SDL893914626-1-6aae8.jpg
Navy Blue Regular Fit Printed Casual Shirt,1499,jabong,clothing & accessories,shirts,1 shirts,Casual Shirts,5,,,http://static3.jassets.com/p/Roadster-Navy-Blue-Regular-Fit-Printed-Casual-Shirt-9600-000915003-1-catalog_m.jpg
Rikidoos Striped Waistcoat With Teddy Patch - Multi Color,399,firstcry,clothing & accessories,2 wear,sarees,3 wear,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/2312020a.jpg
Canary London Navy Stand Collar Sweatshirt,2099,snapdeal,,,,Sweatshirts,5,,plain,https://n3.sdlcdn.com/imgs/h/s/0/large/Canary-London-Navy-Stand-Collar-SDL052812339-1-f0e71.jpeg
Enfance Classy Sleeveless Dress With Attached Bow - Orange,525,firstcry,clothing & accessories,dresses,dresses,frocks for kids,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1667863a.jpg
Sizzlacious White Tummy Shaper,1149,snapdeal,clothing & accessories,lingerie & nightwear,lingerie & underwear,Shapewear,5,,plain,http://n1.sdlcdn.com/imgs/f/d/g/230x258/Sizzlacious-White-Tummy-Shaper-SDL998455668-1-461e6.jpg
BAY ISLAND Mens Full Sleeves Casual Printed Shirt,1699,shoppersstop,clothing & accessories,shirts,1 shirts,Clothing,5,,printed,https://sslimages5.shoppersstop.com/sys-master/images/h07/h3f/9497730318366/201388078_9463.jpg_230Wx334H
Blue Solid Round Neck T-Shirt,1999,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static1.jassets.com/p/Rare-rabbit-Blue-Solid-Round-Neck-T-Shirt-8053-775984003-1-catalog_m.jpg
Cliths Cotton Trackpants - Multi Color,1969,snapdeal,,,,Sportswear,5,,,https://n2.sdlcdn.com/imgs/h/2/p/large/Cliths-Cotton-Trackpants-Multi-Color-SDL794205736-1-55387.jpg
Hardys Collection Multi Cotton Trackpants Pack of 4,1799,snapdeal,clothing & accessories,sportswear,track pants & trousers,Trackpants,5,,plain,http://n1.sdlcdn.com/imgs/e/9/c/230x258/Hardys-Collection-Multi-Cotton-Trackpants-SDL873702704-1-04f80.jpg
Jack & Jones Men Grey Printed Round Neck T-Shirt,999,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,,http://static4.jassets.com/p/Jack---Jones-Grey-Printed-Round-Neck-T-Shirt-3471-978495003-1-catalog_m.jpg
FIFTY TWO Green Solid Casual Blazers,2995,snapdeal,,,,Suits & Blazers,5,,2,https://n1.sdlcdn.com/imgs/g/3/x/large/FIFTY-TWO-Green-Solid-Casual-SDL274492705-1-35446.jpg
Ice Blue V-Neck T-Shirt,710,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,2,http://static3.jassets.com/p/Next-Ice-Blue-V-Neck-T-Shirt-1760-769266003-1-catalog_m.jpg
Navy Blue Printed Regular Fit Round Neck T-Shirt,499,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static3.jassets.com/p/People-Navy-Blue-Printed-Regular-Fit-Round-Neck-T-Shirt-5208-536556003-1-catalog_m.jpg
Blue Self-Design Sleeveless Sweater,2499,jabong,clothing & accessories,western wear,sweaters,Sweaters,5,,,http://static1.jassets.com/p/LOUIS-PHILIPPE-JEANS-Louis-Philippe-Jeans-Men-Blue-Self-Design-Sleeveless-Sweater-6145-864484003-1-catalog_m.jpg
Black Coffee Green Slim Fit Shirt,1149,snapdeal,,,,Casual Shirts,5,,checkered,https://n2.sdlcdn.com/imgs/g/y/b/198x232/Black-Coffee-Green-Slim-Fit-SDL482866445-1-fcd45.jpg
fabyou Cotton Lycra Jeggings - Blue,1599,snapdeal,,,,Jeans Jeggings & Tights,5,,,https://n2.sdlcdn.com/imgs/h/e/4/large/fabyou-Cotton-Lycra-Jeggings-Blue-SDL278588022-1-594d6.jpeg
Lucika Cotton Minimizer Bra,590,snapdeal,clothing & accessories,lingerie & nightwear,lingerie & underwear,Bras,5,,,http://n1.sdlcdn.com/imgs/e/o/p/230x258/Lucika-Cotton-Minimizer-Bra-SDL621761531-1-a41f1.jpg
Solemio Cotton Blend White Prints Formal Shirt,1095,snapdeal,,,,Formal Shirts,5,,,https://n1.sdlcdn.com/imgs/i/g/6/198x232/Solemio-Cotton-Blend-White-Prints-SDL850911645-1-c4af0.jpg
Maroon Printed Slim Fit Round Neck T-Shirt,699,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static1.jassets.com/p/Yak-Yak-Maroon-Printed-Slim-Fit-Round-Neck-T-Shirt-7294-013262003-1-catalog_m.jpg
VAN HEUSEN Mens Full Sleeves Formal Printed Shirt,2299,shoppersstop,clothing & accessories,shirts,formal shirts,Clothing,5,,printed,https://sslimages1.shoppersstop.com/sys-master/images/hef/h30/9515232100382/201581875_9463.jpg_230Wx334H
Kismat Collection Combo of New 100% Pure Cotton Styliner Single Bed Sheet - Buy 2 Get 2,3999,snapdeal,,,,Bed Sheets,5,,,https://n4.sdlcdn.com/imgs/a/x/z/large/Kismat-Collection-Combo-of-New-SDL501272267-1-3d26d.jpg
Olio Kids Full Length Jeans With Ribbed Hem - Dark Blue,799,firstcry,clothing & accessories,western wear,jeans,Full Length Jeans,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1709659a.jpg
Band Collar 3/4Th Sleeves Ajrak Anarkali With Full Center Placket With Mirror Detailing,3999,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,5,,printed,http://static3.jassets.com/p/Sangria-Band-Collar-3-4Th-Sleeves-Ajrak-Anarkali-With-Full-Center-Placket-With-Mirror-Detailing-8052-315782003-1-catalog_m.jpg
Navy Blue Solid Blouse,1299,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,2,,2,http://static4.jassets.com/p/SVT-ADA-Collection-Navy-Blue-Solid-Blouse-6742-3800612-1-catalog_m.jpg
Cream Striped Regular Fit Mandarin T-Shirt,1999,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,striped,http://static1.jassets.com/p/BEING-HUMAN-Cream-Striped-Regular-Fit-Mandarin-T-Shirt-3370-317597003-1-catalog_m.jpg
White Casual Dress,1347,jabong,clothing & accessories,western wear,dresses,Dresses & Skirts,5,,printed,http://static2.jassets.com/p/Bella-Moda-White-Casual-Dress-2238-930265003-1-catalog_m.jpg
Navy & Off-White Colourblocked A-Line Kurta,2199,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,5,,,http://static2.jassets.com/p/Anouk-Navy---Off-White-Colourblocked-A-Line-Kurta-6900-641879003-1-catalog_m.jpg
Blue Solid T-Shirt,499,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tees,5,,2,http://static4.jassets.com/p/Roadster-Blue-Solid-T-Shirt-2561-161816003-1-catalog_m.jpg
Goodboy Multicolour Cotton Shirt and Shorts Combo for Boys,1740,snapdeal,,,,Top & Bottom Sets,5,,,https://n1.sdlcdn.com/imgs/c/a/x/large/Goodboy-Multicolour-Cotton-Shirt-and-SDL956508901-1-5a08d.jpg
Snoogg Printed Men Round Neck Green T-Shirt,799,flipkart,clothing & accessories,t-shirts & polos,t-shirts,Snoogg T-Shirts,5,,,https://rukminim1.flixcart.com/image/200/200/j5vcknk0/t-shirt/j/g/9/xl-rpc-8440-ttm-xl-snoogg-original-imaewg3ajmgefuv2.jpeg?q=90
Monte Carlo Beige Hooded Sweatshirt,2350,snapdeal,,,,Sweatshirts,5,,plain,https://n3.sdlcdn.com/imgs/h/p/w/large/Monte-Carlo-Beige-Hooded-Sweatshirt-SDL422963532-1-5ac3a.jpg
Pack Of 2 Multicoloured Solid Regular Fit V Neck T-Shirts,498,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,2,http://static3.jassets.com/p/People-Pack-Of-2-Multicoloured-Solid-Regular-Fit-V-Neck-T-Shirts-4579-371296003-1-catalog_m.jpg
SHREE Womens Cotton Skirt,999,shoppersstop,clothing & accessories,2 wear,dress material,Westernwear,5,1,,https://sslimages3.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/A3B269D77F7A460DA6935607D131C25F/203377809_9308_A3B269D77F7A460DA6935607D131C25F.jpg
Tibre Black Regular Flat Trousers,1695,snapdeal,clothing & accessories,trousers,formals,Trousers & Chinos,5,,,http://n1.sdlcdn.com/imgs/e/i/4/230x258/Tibre-Black-Regular-Flat-Trousers-SDL611625471-1-b6fc7.jpg
Blue Solid A-Line Skirt,1299,jabong,clothing & accessories,western wear,skirts,"Capris, Shorts & Skirts",5,,2,http://static1.jassets.com/p/Sassafras-Blue-Solid-A-Line-Skirt-8276-099981003-1-catalog_m.jpg
Grey Printed Round Neck T-Shirt,399,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static1.jassets.com/p/Globus-Grey-Printed-Round-Neck-T-Shirt-3070-584605003-1-catalog_m.jpg
Mandarin Collar Placket Embroidered Block Printed Kurta With Elbow Length Sleeves,899,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,5,,printed,http://static2.jassets.com/p/Sangria-Mandarin-Collar-Placket-Embroidered-Block-Printed-Kurta-With-Elbow-Length-Sleeves-6750-305060003-1-catalog_m.jpg
Canary London Navy Casual Slim Fit Shirt,1399,snapdeal,,,,Casual Shirts,2,,checkered,https://n2.sdlcdn.com/imgs/g/i/x/large/Canary-London-Navy-Casual-Slim-SDL864351381-1-60830.jpg
Black Regular Fit Polo T-Shirt,399,jabong,clothing & accessories,t-shirts & polos,polos,T-Shirts & Polos,5,,2,http://static4.jassets.com/p/Juniors-by-lifestyle-Black-Regular-Fit--Polo-Shirt-0348-841681003-1-catalog_m.jpg
RPJ Cotton T-Shirts,1000,snapdeal,clothing & accessories,western wear,"shirts, tops & tees",Tees & Polo,5,,,https://n2.sdlcdn.com/imgs/d/8/u/large/RPJ-Cotton-T-Shirts-SDL216869634-1-296a1.jpg
FS MiniKlub Off White Sweater,799,snapdeal,,,,Sweaters,5,,,https://n3.sdlcdn.com/imgs/c/m/h/large/FS-MiniKlub-Off-White-Sweater-SDL913446405-1-89409.jpg
Indiweaves Multicolor Cotton Trackpants - Pack of 5,3850,snapdeal,clothing & accessories,sportswear,track pants & trousers,Trackpants,5,,,http://n1.sdlcdn.com/imgs/e/g/8/230x258/Indiweaves-Multicolor-Cotton-Trackpants-Pack-SDL741139076-1-710f1.jpg
BLACKBERRYS Mens Full Sleeves Slim Fit Formal Solid Shirt,2395,shoppersstop,clothing & accessories,shirts,formal shirts,Clothing,5,,2,https://sslimages2.shoppersstop.com/sys-master/images/h88/h6e/9250308915230/200685704_9100.png_230Wx334H
Snoogg Printed Men Round Neck Brown T-Shirt,799,flipkart,clothing & accessories,t-shirts & polos,t-shirts,Snoogg T-Shirts,5,,,https://rukminim1.flixcart.com/image/200/200/j5vcknk0/t-shirt/c/b/b/m-rpc-7479-ttm-snoogg-original-imaew9ar5zjktqqy.jpeg?q=90
Light Grey Printed Kurta,1499,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,5,,printed,http://static4.jassets.com/p/La-Firangi-Light-Grey-Printed-Kurta-5490-020585003-1-catalog_m.jpg
Force NXT Multi Half Sleeve Vests Pack of 2,758,snapdeal,clothing & accessories,innerwear,vests,Vests,5,,plain,http://n1.sdlcdn.com/imgs/e/c/q/230x258/Force-NXT-Multi-Half-Sleeve-SDL146218833-1-00044.jpg
Navy Blue Solid Slim Fit Jeans,2299,jabong,clothing & accessories,jeans,jeans,Jeans,5,,2,http://static2.jassets.com/p/Rookies-Navy-Blue-Solid-Slim-Fit-Jeans-6262-818352003-1-catalog_m.jpg
Gkidz Boys Pack of 5 Half Sleeve T-shirts and Jogger,1798,snapdeal,,,,Top & Bottom Sets,5,,,https://n3.sdlcdn.com/imgs/g/2/r/large/Gkidz-Boys-Pack-of-5-SDL558979234-1-4d9e5.jpg
Baby GO Half Sleeves Romper Elephant Patch - Beige,449,firstcry,,,,romper,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/2578448a.jpg
Bluebell Sleeveless Choli Lehenga With Dupatta - Pink Orange,2895,firstcry,clothing & accessories,2 wear,lehenga cholis,Sleeveless Choli Lehenga With Dupatta,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1583296a.jpg
Fashion Guru Trading Co. Cotton Lycra Single Leggings,599,snapdeal,,,,Salwars & Leggings,5,,,https://n2.sdlcdn.com/imgs/g/e/1/large/Fashion-Guru-Trading-Co-Cotton-SDL677744237-1-39368.jpg
Navy Blue Mid Rise Slim Fit Jeans,4999,jabong,clothing & accessories,jeans,jeans,Jeans,5,,2,http://static2.jassets.com/p/Esprit-Navy-Blue-Mid-Rise-Slim-Fit-Jeans-7707-662080003-1-catalog_m.jpg
Bubblegum Ch&Eri Lehenga With Embroidered Choli & Dupatta - Purple & Yellow,2399,firstcry,clothing & accessories,2 wear,salwar suit sets,2 sets,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1653775a.jpg
LADONNA Cotton Tube Bra - Multi Color,1500,snapdeal,,,,Bras,5,,,https://n1.sdlcdn.com/imgs/h/o/a/large/LADONNA-Cotton-Tube-Bra-Multi-SDL479482981-1-d081a.jpg
Park Avenue Men Purple Regular Fit Self Design Formal Shirt,3699,jabong,clothing & accessories,shirts,formal shirts,Formal Shirts,5,,textured,http://static1.jassets.com/p/Park-Avenue-Purple-Self-Pattern-Formal-Shirt-9911-402518003-1-catalog_m.jpg
Tissu Pink Cotton Straight Kurti,1399,snapdeal,,,,Stitched Kurtis,5,,,https://n3.sdlcdn.com/imgs/h/t/1/large/Tissu-Pink-Cotton-Straight-Kurti-SDL801898429-1-60dcf.jpg
U.S. Polo Assn. Purple Formal Slim Fit Shirt,2699,snapdeal,,,,Formal Shirts,5,,2,https://n2.sdlcdn.com/imgs/g/h/y/large/U-S-Polo-Assn-Purple-SDL561733551-1-e629e.jpg
White Striped Fit Chinos,3299,jabong,clothing & accessories,western wear,pants & capris,Trousers,5,,striped,http://static3.jassets.com/p/Vero-Moda-White-Striped-Fit-Chinos-5894-479590003-1-catalog_m.jpg
Black Collection Yellow High Neck T-Shirt,1099,snapdeal,,,,T Shirts,2,,plain,https://n1.sdlcdn.com/imgs/b/7/4/large/Black-Collection-Yellow-High-Neck-SDL729075173-1-ad42d.jpg
REX STRAUT JEANS Mens Round Neck Printed T-Shirt,995,shoppersstop,clothing & accessories,t-shirts & polos,t-shirts,Clothing,5,,printed,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/897FE9D72EFF4964AE4FCCAF2A4B1470/203370755_9417_897FE9D72EFF4964AE4FCCAF2A4B1470.jpg
Swayam Single Cotton Multi Paisley Duvet Cover,1799,snapdeal,,,,Quilt & Duvet Covers,5,,,https://n3.sdlcdn.com/imgs/g/6/v/large/Swayam-Single-Cotton-Multi-Paisley-SDL349744275-1-1feff.jpg
Tango Full Sleeves T-Shirt Champion Print - Yellow,175,firstcry,clothing & accessories,western wear,"tops, tees & shirts",,5,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1675183a.jpg
Blue Printed Round Neck T-Shirt,899,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,printed,http://static3.jassets.com/p/Rigo-Blue-Printed-Round-Neck-T-Shirt-4678-0782492-1-catalog_m.jpg
Blue Printed Blazer,5999,jabong,clothing & accessories,suits & blazers,suits & blazers,Suits & Blazers,5,,printed,http://static2.jassets.com/p/V-Dot-Blue-Printed-Blazer-9050-404654003-1-catalog_m.jpg
Minu Suits Multicoloured Cotton Dress Material,1100,snapdeal,,,,Dress Materials,5,,,https://n4.sdlcdn.com/imgs/c/f/w/large/Minu-Suits-Multicoloured-Cotton-Dress-SDL809518956-1-13590.jpg
Piftif Women's Tube Bra(Multicolor),900,flipkart,clothing & accessories,sportswear,panties & bras,Sports Bras,5,,,https://rukminim1.flixcart.com/image/200/200/bra/h/e/k/3pc-1001-x-black-orange-gajri-piftif-l-original-imaegrdvpxhgfxfb.jpeg?q=90
Red Striped Saree,1799,jabong,clothing & accessories,2 wear,sarees,Sarees,5,,striped,http://static2.jassets.com/p/Pavechas-Pink-Striped-Sarees-7498-783252003-1-catalog_m.jpg
Pink Solid Tracksuit,3599,jabong,clothing & accessories,sportswear,sportswear,Track Wear,5,,2,http://static2.jassets.com/p/Sakhi-Sang-Pink-Solid-Tracksuit-8065-9081582-1-catalog_m.jpg
Cotton Knitted 3pc Accessory Set,590,fabindia,clothing & accessories,baby,baby girls 0-24m,Accessories,5,,2,https://images-cdn.azureedge.net/azure/in-resources/bd5c1517-8d80-48d7-8e8e-365433ad124f/Images/ProductImages/Source/10401344YL-f.jpg;width=285;height=362;scale=canvas;anchor=bottomcenter
Navy Blue Solid Shrug,999,jabong,clothing & accessories,western wear,sweaters,Shrugs,5,,2,http://static3.jassets.com/p/Skidlers-Navy-Blue-Solid-Shrug-7016-0195092-1-catalog_m.jpg
Peter Black V Neck T-Shirt,1499,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,2,http://static2.jassets.com/p/Hummel-Peter-Ss-Black-V-Neck-T-Shirt-2551-172750003-1-catalog_m.jpg
Style Powerblock Green T-Shirt,1099,jabong,clothing & accessories,t-shirts & polos,polos,T-Shirts & Polos,5,,2,http://static1.jassets.com/p/Puma-Style-Powerblock-Green-T-Shirt-4067-904901003-1-catalog_m.jpg
Red Fort Blue Innerwear - Pack of 3,3000,snapdeal,,,,Thermals,2,,,https://n2.sdlcdn.com/imgs/c/v/c/large/Red-Fort-Blue-Innerwear-Pack-SDL595311023-1-55c7c.jpg
Rico Sordi Solid Men's Henley Multicolor T-Shirt(Pack of 6),1999,flipkart,clothing & accessories,t-shirts & polos,t-shirts,Rico Sordi T-Shirts,5,,,https://rukminim1.flixcart.com/image/200/200/j9pyaa80/t-shirt/m/m/q/xl-rsd-pack-of-6-hanleypolo-rico-sordi-original-imaezf8awgukkrmz.jpeg?q=90
Yorker Graphic Printed Cotton Vest for Kids & Boys White Pack of-3,1599,snapdeal,,,,Vest,5,,,https://n1.sdlcdn.com/imgs/h/6/1/large/Yorker-Graphic-Printed-Cotton-Vest-SDL880719783-1-c384d.jpg
Blue Washed Mid Rise Skinny Fit Jeans (711),3399,jabong,clothing & accessories,jeans,jeans,Jeans,5,,,http://static1.jassets.com/p/Levi-s-Blue-Washed-Mid-Rise-Skinny-Jeans-0158-615100003-1-catalog_m.jpg
American-Elm Cotton Trackpants,999,snapdeal,,,,Sportswear,5,,,https://n1.sdlcdn.com/imgs/g/i/4/large/American-Elm-Cotton-Trackpants-SDL392315376-1-ef206.jpg
