Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
Blue Printed Round Neck Sweater,2499,jabong,clothing & accessories,western wear,sweaters,Sweaters,5,,3 print,http://static4.jassets.com/p/Invictus-Blue-Printed-Round-Neck-Sweater-9980-666732003-1-catalog_m.jpg
Peach Printed Cardigan,1499,jabong,clothing & accessories,western wear,sweaters,Sweaters,acrylic,,3 print,http://static1.jassets.com/p/Anouk-Peach-Printed-Cardigan-1779-937022003-1-catalog_m.jpg
"AJS Self Design, Geometric Print, Printed Bollywood Cotton Silk Saree(Green)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j5vcknk0-1/sari/u/y/k/free-pas1418-a-sgm-original-imaewfzqzhgdmcph.jpeg?q=90
Freak'N by Cotton County Blue Slim Tshirts,479,paytm,clothing & accessories,t-shirts & polos,t-shirts,Tshirts,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPFREAK-N-BY-CCOTT741258E48F0B9/1..jpg
Jack & Jones Men Casual Tshirt,2495,paytm,clothing & accessories,t-shirts & polos,t-shirts,Tshirts,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS780021207990A/5..jpg
"AJS Paisley, Geometric Print, Digital Prints, Printed Fashion Art Silk, Silk Saree(Blue)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j7usl8w0/sari/j/w/e/free-rhytm1109-sgm-original-imaexgfvzga4xk5f.jpeg?q=90
Grey Printed Long Top,1399,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,5,,3 print,http://static1.jassets.com/p/Rare-Grey-Printed-Long-Top-5916-697739003-1-catalog_m.jpg
Roadster Pack of 2 Printed T-shirts,999,jabong,clothing & accessories,tops & tees,t-shirts,Tees,5,,3 print,http://static1.jassets.com/p/Roadster-Pack-Of-2-Multicoloured-Printed-T-Shirt-6355-878090003-1-catalog_m.jpg
Be You Serena Satin Purple Geometric Print Women Nightgown,820,paytm,clothing & accessories,lingerie & nightwear,nightwear,Nightwear & Nighties,,,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPBE-YOU-SERENBE-Y23131FBE7CB89/0..jpg
Rajrang Beige Color Ethnic Wear Printed Cotton Kurta for Men,659,paytm,clothing & accessories,2 wear,kurtas,Kurtas,,festive,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPRAJRANG-BEIGRAJR20103DE91D795/1..jpg
Multicoloured Printed Slim Fit Round Neck Sweaters,3499,jabong,clothing & accessories,western wear,sweaters,Sweaters,acrylic,,3 print,http://static4.jassets.com/p/Wills-Lifestyle-Multicoloured-Printed-Slim-Fit-Round-Neck-Sweaters-9490-739591003-1-catalog_m.jpg
Pink Self Design Slim Fit Formal Shirt,2999,jabong,clothing & accessories,shirts,formal shirts,Formal Shirts,,,3 print,http://static2.jassets.com/p/Louis-Philippe-Pink-Self-Design-Slim-Fit-Formal-Shirt-8195-263599003-1-catalog_m.jpg
Navy Blue Printed Casual Shirt,1499,jabong,clothing & accessories,t-shirts & polos,t-shirts,Shirts,,,3 print,http://static4.jassets.com/p/U-S--Polo-Assn--Kids-Navy-Blue-Printed-Casual-Shirt-7707-899259003-1-catalog_m.jpg
Yellow Printed Blouse,1499,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,5,,3 print,http://static2.jassets.com/p/Vero-Moda-Yellow-Printed-Blouse-9905-053929003-1-catalog_m.jpg
"Trendz Style Floral Print, Geometric Print, Animal Print Fashion Silk Saree(Pack of 2, Red, Mustard)",1879,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j4sronk0/sari/a/r/h/free-combo-1004-b-1038-a1-jpg-trendz-style-original-imaevmqwhn9fubrh.jpeg?q=90
Aeropostale Men Blue Regular Fit Printed Casual Shirt,2199,jabong,clothing & accessories,shirts,1 shirts,Casual Shirts,5,,3 print,http://static4.jassets.com/p/Aeropostale-Blue-Printed-Casual-Shirt-8177-130618003-1-catalog_m.jpg
Be You Fashion Women Serena Satin Beige Geometric Pattern Nightgown,930,paytm,clothing & accessories,lingerie & nightwear,nightwear,Nightwear & Nighties,,,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPBE-YOU-FASHIBE-Y2313162D9768F/0..jpg
